ProjectYear,Hours_Hybrid,LoadKWh_Hybrid,PvGenerationKWh,PvToLoadKWh,BatteryToLoadKWh,DieselToLoadKWh_Hybrid,FuelUsedL_Hybrid,UnservedEnergyKWh_Hybrid,SystemDownHours_Hybrid,Availability_Hybrid,OutageCostUsd_Hybrid,AvgSocKWh,CurtailmentKWh,HoursBatteryFullWithPv,Hours_Cold,LoadKWh_Cold,DieselToLoadKWh_Cold,UnservedEnergyKWh_Cold,SystemDownHours_Cold,Availability_Cold,OutageCostUsd_Cold,PrimaryRunHours,ReserveRunHours,FuelUsedL_Cold,FuelCostHybridUsd,FuelCostColdUsd,AnnualOmHybridUsd,AnnualOmColdUsd,OperatingCostHybridUsd,OperatingCostColdUsd,IncrementalNetBenefitUsd,DiscountFactor,DiscountedNetBenefitUsd,CumulativeDiscountedUsd,CumulativeUndiscountedUsd,CurtailmentPctOfPv
1,8760,8760.0,2084.6603868644274,2027.5216096151466,57.734995513848354,6674.743394871005,2002.4230184613007,0.0,0,1.0,0.0,1.045800686770088,3.4841704174559673e-14,0,8760,8760,8760,0,0,1.0,0.0,8760,0,2627.999999999999,10012.115092306503,13139.999999999996,300.0,700.0,10312.115092306503,13839.999999999996,3527.884907693493,0.8620689655172414,3041.2800928392185,-11958.719907160781,-11472.115092306507,1.6713371825022137e-15
2,8760,8760.0,2021.8465624078012,1969.5073989790817,49.24591887008219,6741.246682150836,2022.3740046452501,0.0,0,1.0,0.0,1.043493281648072,2.95536707085875e-14,0,8760,8760,8760,0,0,1.0,0.0,8760,0,2627.999999999999,10111.87002322625,13139.999999999996,300.0,700.0,10411.87002322625,13839.999999999996,3428.1299767737455,0.7431629013079668,2547.6590195999897,-9411.060887560792,-8043.9851155327615,1.4617167918713011e-15
3,8760,8760.0,2099.4027670378664,2035.0116045456875,60.58564478889107,6641.958261347049,1992.587478404114,22.444489318371513,24,0.9972602739726028,84.48,1.0481351014694278,3.981591532170592e-14,0,8760,8760,8760,0,0,1.0,0.0,4950,3810,2627.999999999999,9962.93739202057,13139.999999999996,300.0,700.0,10347.41739202057,13839.999999999996,3492.582607979426,0.6406576735413507,2237.5498482790827,-7173.51103928171,-4551.402507553335,1.8965353359938566e-15
4,8784,8784.0,2213.728971322617,2145.5047373945763,64.19218170289375,6574.3030809025295,1972.2909242707583,0.0,0,1.0,0.0,1.048106820459447,4.129921231388334e-14,0,8784,8784,8784,0,0,1.0,0.0,0,8784,2635.199999999999,9861.45462135379,13175.999999999995,300.0,700.0,10161.45462135379,13875.999999999995,3714.545378646204,0.5522910978804748,2051.5103452993562,-5122.000693982354,-836.8571289071315,1.865594788200683e-15
5,8760,8760.0,2194.8548775540016,2126.428085023425,64.38276909201991,6569.189145884555,1970.7567437653659,0.0,0,1.0,0.0,1.0497668117136327,3.839680309813964e-14,0,8760,8760,8760,0,0,1.0,0.0,0,8760,2627.999999999999,9853.78371882683,13139.999999999996,300.0,700.0,10153.78371882683,13839.999999999996,3686.216281173167,0.4761130154142025,1755.055549098284,-3366.94514488407,2849.3591522660354,1.749400540819808e-15
6,8760,8760.0,2015.1438864272093,1967.002663202788,45.29607693185787,6747.701259865354,2024.3103779596054,0.0,0,1.0,0.0,1.0409995857431826,2.8077583660857108e-14,0,8760,8760,8760,0,0,1.0,0.0,0,8760,2627.999999999999,10121.551889798027,13139.999999999996,300.0,700.0,10421.551889798027,13839.999999999996,3418.448110201969,0.4104422546674159,1403.0755498148633,-1963.8695950692072,6267.807262468006,1.393328975165036e-15
7,8760,8760.0,2083.0828722138726,2034.5562914744357,45.658659817736414,6679.785048707828,2003.9355146123476,0.0,0,1.0,0.0,1.0403957028758601,3.066614345272056e-14,0,8760,8760,8760,0,0,1.0,0.0,0,8760,2627.999999999999,10019.677573061737,13139.999999999996,300.0,700.0,10319.677573061737,13839.999999999996,3520.322426938259,0.35382952988570343,1245.5940293696628,-718.275565699545,9788.129689406265,1.4721518697971434e-15
8,8784,8784.0,2117.5437463813028,2056.095577579286,57.816582025817624,6670.087840394896,2001.0263521184681,0.0,0,1.0,0.0,1.0464068207723611,3.454902379809721e-14,0,8784,8784,8784,0,0,1.0,0.0,0,8784,2635.199999999999,10005.131760592341,13175.999999999995,300.0,700.0,10305.131760592341,13875.999999999995,3570.868239407653,0.30502545679802023,1089.2057158908617,370.930150191316,13358.997928813918,1.6315612774063569e-15
9,8760,8760.0,2226.5356424511247,2162.2830134386068,60.45529863787815,6537.261687923515,1961.1785063770537,0.0,0,1.0,0.0,1.0468936835959266,3.9395895400085035e-14,0,8760,8760,8760,0,0,1.0,0.0,0,8760,2627.999999999999,9805.892531885269,13139.999999999996,300.0,700.0,10105.892531885269,13839.999999999996,3734.1074681147275,0.2629529799982933,981.8946863746496,1352.8248365659656,17093.105396928644,1.769380855575045e-15
10,8760,8760.0,2109.1129170731674,2046.2454032874482,59.15204372098312,6654.602552991569,1996.38076589747,0.0,0,1.0,0.0,1.04677649040653,3.8089865463108996e-14,0,8760,8760,8760,0,0,1.0,0.0,2711,6049,2627.999999999999,9981.90382948735,13139.999999999996,300.0,700.0,10281.90382948735,13839.999999999996,3558.0961705126465,0.2266836034468046,806.5620613420829,2159.386897908047,20651.20156744129,1.805966155475763e-15
