Hour,Scenario,PvGenerationKWh,PvToLoadKWh,BatteryToLoadKWh,DieselToLoadKWh,FuelUsedL,UnservedEnergyKWh,AvgSocKWh,CurtailmentKWh,HoursBatteryFullWithPvShare
0,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
1,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
2,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
3,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
4,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
5,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
6,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
7,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
8,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
9,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
10,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
11,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
12,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
13,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
14,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
15,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
16,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
17,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
18,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
19,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
20,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
21,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
22,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
23,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
0,Hybrid,0.0,0.0,0.0,0.9997261774370209,0.2999178532311061,0.0002738225629791895,1.024,0.0,0.0
1,Hybrid,0.0,0.0,0.0,0.9997261774370209,0.2999178532311061,0.0002738225629791895,1.024,0.0,0.0
2,Hybrid,0.0,0.0,0.0,0.9997261774370209,0.2999178532311061,0.0002738225629791895,1.024,0.0,0.0
3,Hybrid,0.0,0.0,0.0002738225629791895,0.9994523548740416,0.29983570646221236,0.0002738225629791895,1.0248392859159223,0.0,0.0
4,Hybrid,0.0,0.0,0.0002738225629791895,0.9994523548740416,0.29983570646221236,0.0002738225629791895,1.024556994613882,0.0,0.0
5,Hybrid,0.00019330368479427242,0.00019330368479427242,0.0002738225629791895,0.9992590511892474,0.29977771535677405,0.0002738225629791895,1.0242747033118416,0.0,0.0
6,Hybrid,0.009514464127389908,0.009514464127389908,0.000266462212486309,0.9899452510971446,0.2969835753291433,0.0002738225629791895,1.024,0.0,0.0
7,Hybrid,0.03877645987814129,0.03877645987814129,0.0,0.9609497175588795,0.28828491526766375,0.0002738225629791895,1.024,0.0,0.0
8,Hybrid,0.15830870449508766,0.15830870449508766,0.0,0.841417472941933,0.25242524188257986,0.0002738225629791895,1.024,0.0,0.0
9,Hybrid,0.35229760218387196,0.35229760218387196,0.0,0.6474296123510902,0.19422888370532704,0.00027278546503767937,1.024,0.0,0.0
10,Hybrid,0.5562100646376602,0.5562100646376602,0.0,0.4435230261215863,0.13305690783647584,0.00026690924075338686,1.024,0.0,0.0
11,Hybrid,0.7153887682940469,0.7048491010372602,0.0,0.2948957338704909,0.08846872016114724,0.00025516509224887826,1.034223477239083,1.395044152541071e-17,0.0
12,Hybrid,0.8075470706932936,0.7564127575511396,0.00020993488426601387,0.24317248560103846,0.07295174568031151,0.00020482196355601638,1.0836073332712344,2.6934482472542446e-17,0.0
13,Hybrid,0.8227929116434264,0.7606305234597129,0.0018226633183149998,0.23736145999819983,0.07120843799945993,0.00018535322377206888,1.1420258154606582,2.829966579128997e-17,0.0
14,Hybrid,0.7655855232170943,0.7296943521674663,0.006993246211855282,0.2631477176995121,0.0789443153098536,0.00016468392116623993,1.1696307192016266,2.2515957832990176e-17,0.0
15,Hybrid,0.6487094628201132,0.6453055004828143,0.026888950938689177,0.32761754183139913,0.09828526254941972,0.0001880067470972683,1.1452119946907766,5.42043194834309e-18,0.0
16,Hybrid,0.4760348920711369,0.4760348920711369,0.06221414396873614,0.4615077001961716,0.13845231005885145,0.0002432637639552008,1.0810737019395023,0.0,0.0
17,Hybrid,0.2869873098677048,0.2869873098677048,0.04874956991482914,0.664005640489825,0.19920169214694747,0.00025747972764094854,1.0308164133675133,0.0,0.0
18,Hybrid,0.12173990878976944,0.12173990878976944,0.006592245610990101,0.8713940230362612,0.2614182069108783,0.0002738225629791895,1.0240202838716472,0.0,0.0
19,Hybrid,0.028872412582785674,0.028872412582785674,1.9675355497797236e-05,0.9708340894987374,0.2912502268496211,0.0002738225629791895,1.024,0.0,0.0
20,Hybrid,0.006745585080877029,0.006745585080877029,0.0,0.9929805923561437,0.29789417770684307,0.0002738225629791895,1.024,0.0,0.0
21,Hybrid,0.0,0.0,0.0,0.9997261774370209,0.2999178532311061,0.0002738225629791895,1.024,0.0,0.0
22,Hybrid,0.0,0.0,0.0,0.9997261774370209,0.2999178532311061,0.0002738225629791895,1.024,0.0,0.0
23,Hybrid,0.0,0.0,0.0,0.9997261774370209,0.2999178532311061,0.0002738225629791895,1.024,0.0,0.0
