Run,ColdFuelCostUsd,HybridFuelCostUsd,ColdOutageCostUsd,HybridOutageCostUsd,MeanAnnualNetBenefitUsd,NPV,PI,IRR,SimplePaybackYears,DiscountedPaybackYears
1,131471.99999979802,99769.98516645706,0.0,0.0,3570.201483334093,2197.2193890777057,1.1464812926051804,0.19814990856886533,4.207951360684259,7.622857882250257
2,131471.99999979802,99726.5314641458,0.0,112.64,3563.2828535652197,2146.0815825659074,1.143072105504394,0.19723420164999084,4.233537908652632,7.6721908460708645
3,131471.99999979802,99732.06588737658,0.0,91.52,3564.8414112421424,2156.9343400634375,1.1437956226708959,0.19742726868704258,4.228445042485661,7.661930545476743
4,131471.99999979802,99741.93496798794,0.0,77.44,3565.262503181005,2161.1794637656053,1.1440786309177071,0.197505251641808,4.225757792319805,7.657498853874428
5,131471.99999979802,99769.98516645706,0.0,0.0,3570.201483334093,2197.2193890777057,1.1464812926051804,0.19814990856886533,4.207951360684259,7.622857882250257
6,131471.99999979802,99746.70276192819,0.0,66.88,3565.8417237869808,2165.6378239262294,1.1443758549284153,0.19758538345790022,4.223439332705525,7.653146012015656
7,131471.99999979802,99696.13641611197,0.0,225.28,3555.058358368602,2088.62510577517,1.1392416737183446,0.196212433351243,4.260572929296629,7.726514786827303
8,131471.99999979802,99718.48515028573,0.0,147.84,3560.567484951226,2127.4237895492156,1.1418282526366144,0.19690284421135573,4.242158208079751,7.689744457147556
9,131471.99999979802,99745.15897794008,0.0,73.92,3565.292102185791,2161.874582207849,1.14412497214719,0.19751853447130824,4.225172569865915,7.656685765365697
10,131471.99999979802,99769.98516645706,0.0,0.0,3570.201483334093,2197.2193890777057,1.1464812926051804,0.19814990856886533,4.207951360684259,7.622857882250257
11,131471.99999979802,99769.98516645706,0.0,0.0,3570.201483334093,2197.2193890777057,1.1464812926051804,0.19814990856886533,4.207951360684259,7.622857882250257
12,131471.99999979802,99735.5410165565,0.0,102.08,3563.4378983241504,2148.4874898008156,1.1432324993200544,0.1972794619377754,4.231708581580707,7.669497562407104
13,131471.99999979802,99769.98516645706,0.0,0.0,3570.201483334093,2197.2193890777057,1.1464812926051804,0.19814990856886533,4.207951360684259,7.622857882250257
14,131471.99999979802,99744.53276905484,0.0,73.92,3565.3547230743147,2162.177584905333,1.1441451723270222,0.19752367773508622,4.225100731697382,7.6564414685926945
15,131471.99999979802,99672.33740780137,0.0,256.96,3554.2702591996626,2079.8446589826935,1.138656310598846,0.19605051263718984,4.266404924566443,7.735802867310097
16,131471.99999979802,99734.72862599092,0.0,88.0,3564.9271373807073,2157.901039975355,1.1438600693316903,0.1974451576070121,4.227795794928707,7.6608991108655395
17,131471.99999979802,99736.31843247951,0.0,84.48,3565.120156731848,2159.3868978487426,1.1439591265232496,0.1974718593837533,4.227023339144033,7.6594489500673015
18,131471.99999979802,99769.98516645706,0.0,0.0,3570.201483334093,2197.2193890777057,1.1464812926051804,0.19814990856886533,4.207951360684259,7.622857882250257
19,131471.99999979802,99697.01716587355,0.0,204.16,3557.0822833924444,2101.7296288538246,1.140115308590255,0.19644349327015032,4.254951251026402,7.714450823823083
20,131471.99999979802,99745.43697990532,0.0,73.92,3565.2643019892666,2161.7400658390143,1.1441160043892675,0.19751625113844667,4.22520446279592,7.656794222320247
21,131471.99999979802,99707.1787763731,0.0,183.04,3558.178122342489,2110.343436605914,1.1406895624403943,0.1965983776200646,4.25039893944853,7.7060150254927375
22,131471.99999979802,99769.98516645706,0.0,0.0,3570.201483334093,2197.2193890777057,1.1464812926051804,0.19814990856886533,4.207951360684259,7.622857882250257
23,131471.99999979802,99738.95237033081,0.0,91.52,3564.1527629467187,2153.602188507477,1.143573479233832,0.19737071018403318,4.2292355400317065,7.664617695530176
24,131471.99999979802,99717.34918573263,0.0,158.4,3559.6250814065365,2121.2081018784847,1.1414138734585657,0.19679296434906252,4.244890739542546,7.695508534682362
25,131471.99999979802,99697.43311810409,0.0,193.6,3558.0966881693903,2108.2937077420897,1.1405529138494728,0.19655923916381898,4.252137496618744,7.708409068060394
26,131471.99999979802,99667.38356036112,0.0,288.64,3551.5976439436877,2061.945634168054,1.1374630422778702,0.1957339340647967,4.274410660725857,7.752461240431694
27,131471.99999979802,99769.98516645706,0.0,0.0,3570.201483334093,2197.2193890777057,1.1464812926051804,0.19814990856886533,4.207951360684259,7.622857882250257
28,131471.99999979802,99769.98516645706,0.0,0.0,3570.201483334093,2197.2193890777057,1.1464812926051804,0.19814990856886533,4.207951360684259,7.622857882250257
29,131471.99999979802,99735.33159742445,0.0,95.04,3564.162840237355,2153.0990511249447,1.143539936741663,0.19736069149945004,4.229774759539979,7.665275081155135
30,131471.99999979802,99712.7583232655,0.0,165.44,3559.3801676532494,2118.9192451781882,1.1412612830118793,0.19675120110421163,4.246270715308346,7.697852244445422
