Month,Scenario,LoadKWh,PvGenerationKWh,PvToLoadKWh,BatteryToLoadKWh,DieselToLoadKWh,FuelUsedL,UnservedEnergyKWh,AvgSocKWh,DownHours,CurtailmentKWh,HoursBatteryFullWithPv,CurtailmentPctOfPv
1,ColdStandby,7440.0,0.0,0.0,0.0,7440.0,2231.999999999999,0.0,,0,0.0,0,0.0
2,ColdStandby,6768.0,0.0,0.0,0.0,6768.0,2030.3999999999992,0.0,,0,0.0,0,0.0
3,ColdStandby,7440.0,0.0,0.0,0.0,7440.0,2231.999999999999,0.0,,0,0.0,0,0.0
4,ColdStandby,7200.0,0.0,0.0,0.0,7200.0,2159.999999999999,0.0,,0,0.0,0,0.0
5,ColdStandby,7440.0,0.0,0.0,0.0,7440.0,2231.999999999999,0.0,,0,0.0,0,0.0
6,ColdStandby,7200.0,0.0,0.0,0.0,7200.0,2159.999999999999,0.0,,0,0.0,0,0.0
7,ColdStandby,7440.0,0.0,0.0,0.0,7440.0,2231.999999999999,0.0,,0,0.0,0,0.0
8,ColdStandby,7440.0,0.0,0.0,0.0,7440.0,2231.999999999999,0.0,,0,0.0,0,0.0
9,ColdStandby,7200.0,0.0,0.0,0.0,7200.0,2159.999999999999,0.0,,0,0.0,0,0.0
10,ColdStandby,7440.0,0.0,0.0,0.0,7440.0,2231.999999999999,0.0,,0,0.0,0,0.0
11,ColdStandby,7200.0,0.0,0.0,0.0,7200.0,2159.999999999999,0.0,,0,0.0,0,0.0
12,ColdStandby,7440.0,0.0,0.0,0.0,7440.0,2231.999999999999,0.0,,0,0.0,0,0.0
1,Hybrid,7440.0,1265.188566778323,1187.3452779490938,73.24275045942196,6179.411971591484,1853.8235914774446,0.0,1.058003913438075,0,2.4852082197712733e-14,0,1.9642986705923283e-15
2,Hybrid,6768.0,1436.376286271381,1301.345608801725,127.0503644311994,5339.604026767075,1601.881208030122,0.0,1.1061229001180592,0,3.0332669969518333e-14,0,2.1117495644722336e-15
3,Hybrid,7440.0,2115.243266838392,1880.0653983453565,221.27885646509748,5338.655745189546,1601.5967235568633,0.0,1.1686626066018482,0,5.470575164742697e-14,0,2.586262890187305e-15
4,Hybrid,7200.0,2559.9384292956156,2237.4875573574045,307.36714540666304,4655.145297235932,1396.5435891707791,0.0,1.2439966451007665,0,7.209234294605626e-14,0,2.816174878311154e-15
5,Hybrid,7440.0,2709.05664178133,2426.140538656107,266.1957614305227,4732.251018646197,1419.6753055938586,15.412681267173216,1.204526402247692,19,6.822732483147131e-14,0,2.5184901555476036e-15
6,Hybrid,7200.0,2797.229435398608,2541.037363025788,241.0511208955861,4417.911516078625,1325.373454823587,0.0,1.1836083734281482,0,7.209028296192854e-14,0,2.5772030727846107e-15
7,Hybrid,7440.0,2981.5295690139073,2686.9376832669445,277.1815052993171,4475.880811433738,1342.764243430121,0.0,1.1996765132523501,0,8.156339102380339e-14,0,2.7356224090971925e-15
8,Hybrid,7440.0,3004.2675320816816,2641.3105334949887,341.5062399702192,4457.183226534792,1337.154967960437,0.0,1.250223532896969,0,8.632588459171753e-14,0,2.873441984439436e-15
9,Hybrid,7200.0,2651.1374750069085,2306.1809228149095,324.5696199574518,4569.249457227638,1370.774837168291,0.0,1.2460889597646514,0,8.108433629389067e-14,0,3.058473468776996e-15
10,Hybrid,7440.0,2183.851989583332,1955.4381976264037,214.91453685227384,5269.647265521322,1580.894179656396,0.0,1.149606973252307,0,5.806260420376796e-14,0,2.658724331168891e-15
11,Hybrid,7200.0,1511.8859499606626,1406.69008264419,98.97879155806912,5694.331125797741,1708.2993377393216,0.0,1.0745159890924045,0,3.5419800772928944e-14,0,2.3427561301069385e-15
12,Hybrid,7440.0,1126.7287038520067,1087.5165889793911,36.89467888364401,6315.588732136965,1894.6766196410888,0.0,1.0386951263558775,0,1.5535316089110296e-14,0,1.3787982888870137e-15
