Scenario,Metric,Mean,Std,Min,P05,Median,P95,Max
Hybrid,TotalLoadKWh,87648.0,0.0,87648.0,87648.0,87648.0,87648.0,87648.0
Hybrid,TotalPvGenerationKWh,26342.433845861757,7.279598323750351e-12,26342.43384586175,26342.43384586175,26342.43384586175,26342.43384586175,26342.43384586175
Hybrid,TotalBatteryChargeKWh,2684.9380928998553,9.099497904687939e-13,2684.9380928998544,2684.9380928998544,2684.9380928998544,2684.9380928998544,2684.9380928998544
Hybrid,TotalBatteryDischargeKWh,2530.2313716094623,4.549748952343969e-13,2530.2313716094627,2530.2313716094627,2530.2313716094627,2530.2313716094627,2530.2313716094627
Hybrid,TotalDieselEnergyKWh,61441.757366747755,19.443255929800003,61332.08367693702,61404.663399751415,61443.64094707072,61460.27287542781,61460.27287542781
Hybrid,PvToLoadKWh,23657.495752962135,3.6397991618751755e-12,23657.49575296214,23657.49575296214,23657.49575296214,23657.49575296214,23657.49575296214
Hybrid,BatteryToLoadKWh,2530.2313716094623,4.549748952343969e-13,2530.2313716094627,2530.2313716094627,2530.2313716094627,2530.2313716094627,2530.2313716094627
Hybrid,DieselToLoadKWh,61441.757366747755,19.443255929800003,61332.08367693702,61404.663399751415,61443.64094707072,61460.27287542781,61460.27287542781
Hybrid,DieselRunHours,71995.293,22.70574160210808,71870.0,71953.0,71998.0,72017.0,72017.0
Hybrid,FuelUsedL,18432.527210009914,5.832976778931261,18399.625103066744,18421.399019911038,18433.09228410681,18438.081862613926,18438.081862613926
Hybrid,FailureCount,0.997,1.0119362702339585,0.0,0.0,1.0,3.0,6.0
Hybrid,RecoveryCount,0.997,1.0119362702339585,0.0,0.0,1.0,3.0,6.0
Hybrid,TotalRepairHours,25.735,26.501681345041376,0.0,0.0,24.0,75.0,175.0
Hybrid,SystemDownHours,21.707,22.705741602108084,0.0,0.0,19.0,64.0,147.0
Hybrid,UnservedEnergyKWh,18.515508680071093,19.443255929800976,0.0,0.0,16.63192835709694,55.609475676394304,128.18919849079865
Hybrid,HoursLoadFullyCovered,87626.293,22.70574160210808,87501.0,87584.0,87629.0,87648.0,87648.0
Hybrid,Availability,0.9997523389010587,0.0002590560149930182,0.9983228368017525,0.9992698064987222,0.9997832238043082,1.0,1.0
Hybrid,SocMinKWh,1.0240000000000005,4.443114211273408e-16,1.024,1.024,1.024,1.024,1.024
Hybrid,SocMaxKWh,4.20314161829964,0.0,4.20314161829964,4.20314161829964,4.20314161829964,4.20314161829964,4.20314161829964
Hybrid,SocAverageKWh,1.1604332199196532,2.221557105636704e-16,1.1604332199196534,1.1604332199196534,1.1604332199196534,1.1604332199196534,1.1604332199196534
Hybrid,HoursBatteryCharging,10738.0,0.0,10738.0,10738.0,10738.0,10738.0,10738.0
Hybrid,HoursBatteryDischarging,7471.0,0.0,7471.0,7471.0,7471.0,7471.0,7471.0
Hybrid,CurtailmentKWh,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColdStandby,TotalLoadKWh,87648.0,0.0,87648.0,87648.0,87648.0,87648.0,87648.0
ColdStandby,TotalDieselEnergyKWh,87648.0,0.0,87648.0,87648.0,87648.0,87648.0,87648.0
ColdStandby,DieselToLoadKWh,87648.0,0.0,87648.0,87648.0,87648.0,87648.0,87648.0
ColdStandby,FuelUsedL,26294.39999995961,7.279598323750351e-12,26294.3999999596,26294.3999999596,26294.3999999596,26294.3999999596,26294.3999999596
ColdStandby,PrimaryRunHours,60380.346,26812.692977375154,38.0,11161.7,66542.0,87648.0,87648.0
ColdStandby,ReserveRunHours,27267.654,26812.692977375158,0.0,0.0,21106.0,76486.29999999999,87610.0
ColdStandby,PrimaryFailureCount,0.822,0.6623856540979393,0.0,0.0,1.0,2.0,4.0
ColdStandby,ReserveFailureCount,0.386,0.5650870050915375,0.0,0.0,0.0,1.0,3.0
ColdStandby,PrimaryRecoveryCount,0.822,0.6623856540979393,0.0,0.0,1.0,2.0,4.0
ColdStandby,ReserveRecoveryCount,0.386,0.5650870050915375,0.0,0.0,0.0,1.0,3.0
ColdStandby,PrimaryRepairHours,21.177,17.575282687955877,0.0,0.0,24.0,53.049999999999955,105.0
ColdStandby,ReserveRepairHours,9.968,14.847269695719055,0.0,0.0,0.0,33.0,88.0
ColdStandby,SystemDownHours,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColdStandby,UnservedEnergyKWh,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColdStandby,HoursLoadFullyCovered,87648.0,0.0,87648.0,87648.0,87648.0,87648.0,87648.0
ColdStandby,Availability,1.0,0.0,1.0,1.0,1.0,1.0,1.0
