ProjectYear,InitialInvestmentUsd,FuelCostColdUsd,FuelCostHybridUsd,AnnualOmColdUsd,AnnualOmHybridUsd,OutageCostUsd_Cold,OutageCostUsd_Hybrid,OperatingCostColdUsd,OperatingCostHybridUsd,IncrementalNetBenefitUsd,DiscountFactor,DiscountedNetBenefitUsd,CumulativeDiscountedUsd,CumulativeUndiscountedUsd
1,-15000.0,13139.999999999996,9263.420352019672,700.0,300.0,0.0,0.0,13839.999999999996,9563.420352019672,4276.579647980325,0.8620689655172414,3686.7065930864874,-11313.293406913512,-10723.420352019675
2,0.0,13139.999999999996,9385.746027680363,700.0,300.0,0.0,0.0,13839.999999999996,9685.746027680363,4154.253972319633,0.7431629013079668,3087.2874348392047,-8226.005972074308,-6569.166379700042
3,0.0,13139.999999999996,9245.652996815956,700.0,300.0,0.0,0.0,13839.999999999996,9545.652996815956,4294.347003184041,0.6406576735413507,2751.2063604391587,-5474.79961163515,-2274.8193765160013
4,0.0,13175.999999999995,9047.151466995434,700.0,300.0,0.0,66.88,13875.999999999995,9414.031466995433,4461.968533004561,0.5522910978804748,2464.305499801221,-3010.4941118339284,2187.149156488558
5,0.0,13139.999999999996,9068.926287021426,700.0,300.0,0.0,0.0,13839.999999999996,9368.926287021426,4471.07371297857,0.4761130154142025,2128.7363876254017,-881.7577242085263,6658.2228694671285
6,0.0,13139.999999999996,9397.774994815893,700.0,300.0,0.0,0.0,13839.999999999996,9697.774994815893,4142.225005184104,0.4104422546674159,1700.1441704675121,818.3864462589863,10800.447874651232
7,0.0,13139.999999999996,9271.557793888524,700.0,300.0,0.0,0.0,13839.999999999996,9571.557793888524,4268.442206111473,0.35382952988570343,1510.3008991327172,2328.6873453917033,15068.890080762707
8,0.0,13175.999999999995,9247.002583358153,700.0,300.0,0.0,0.0,13875.999999999995,9547.002583358153,4328.9974166418415,0.30502545679802023,1320.4544144886272,3649.141759880331,19397.887497404547
9,0.0,13139.999999999996,9011.106986386367,700.0,300.0,0.0,0.0,13839.999999999996,9311.106986386367,4528.89301361363,0.2629529799982933,1190.885914023155,4840.027673903485,23926.78051101818
10,0.0,13139.999999999996,9228.950802259766,700.0,300.0,0.0,0.0,13839.999999999996,9528.950802259766,4311.049197740231,0.2266836034468046,977.2441667802116,5817.2718406836975,28237.829708758407
