ProjectYear,Hours_Hybrid,LoadKWh_Hybrid,PvGenerationKWh,PvToLoadKWh,BatteryToLoadKWh,DieselToLoadKWh_Hybrid,FuelUsedL_Hybrid,UnservedEnergyKWh_Hybrid,SystemDownHours_Hybrid,Availability_Hybrid,OutageCostUsd_Hybrid,AvgSocKWh,CurtailmentKWh,HoursBatteryFullWithPv,Hours_Cold,LoadKWh_Cold,DieselToLoadKWh_Cold,UnservedEnergyKWh_Cold,SystemDownHours_Cold,Availability_Cold,OutageCostUsd_Cold,PrimaryRunHours,ReserveRunHours,FuelUsedL_Cold,FuelCostHybridUsd,FuelCostColdUsd,AnnualOmHybridUsd,AnnualOmColdUsd,OperatingCostHybridUsd,OperatingCostColdUsd,IncrementalNetBenefitUsd,DiscountFactor,DiscountedNetBenefitUsd,CumulativeDiscountedUsd,CumulativeUndiscountedUsd,CurtailmentPctOfPv
1,8760,8760.0,5085.333851696273,3089.4877165183966,1049.3021924212953,4621.210091060308,1386.3630273180918,0.0,0,1.0,0.0,1.9846288436102724,884.8576428606324,963,8760,8760,8760,0,0,1.0,0.0,8760,0,2627.999999999999,6931.815136590459,13139.999999999996,300.0,700.0,7231.815136590459,13839.999999999996,6608.184863409538,0.8620689655172414,5696.711089146153,-9303.288910853847,-8391.815136590463,17.400187847361835
2,8760,8760.0,4926.484892721049,3023.930540016705,1021.881902495877,4714.1875574874175,1414.256267246225,0.0,0,1.0,0.0,1.9478437165834377,816.4857986647257,903,8760,8760,8760,0,0,1.0,0.0,8760,0,2627.999999999999,7071.281336231124,13139.999999999996,300.0,700.0,7371.281336231124,13839.999999999996,6468.718663768872,0.7431629013079668,4807.311729911469,-4495.977180942376,-1923.0964728215913,16.57339495491187
3,8760,8760.0,5108.663232438046,3031.1722438510064,1033.1207235008712,4695.707032648122,1408.7121097944362,0.0,0,1.0,0.0,1.9958182479552573,979.477678457513,1033,8760,8760,8760,0,0,1.0,0.0,4950,3810,2627.999999999999,7043.560548972181,13139.999999999996,300.0,700.0,7343.560548972181,13839.999999999996,6496.439451027815,0.6406576735413507,4161.99378499773,-333.9833959446478,4573.342978206223,19.172876227937802
4,8784,8784.0,5387.701988499069,3145.7175244928044,1142.788048428879,4495.494427078316,1348.6483281234944,0.0,0,1.0,0.0,2.0803111518079005,1027.415382883,1112,8784,8784,8784,0,0,1.0,0.0,0,8784,2635.199999999999,6743.241640617472,13175.999999999995,300.0,700.0,7043.241640617472,13875.999999999995,6832.758359382523,0.5522910978804748,3773.6716158553654,3439.6882199107167,11406.101337588745,19.069640174534268
5,8760,8760.0,5342.372588559455,3126.0240697780623,1126.838655370189,4496.926563377885,1349.0779690133652,10.210711473863254,12,0.9986301369863013,42.24,2.0699351363990477,1018.7306472007901,1085,8760,8760,8760,0,0,1.0,0.0,0,8760,2627.999999999999,6745.389845066826,13139.999999999996,300.0,700.0,7087.6298450668255,13839.999999999996,6752.370154933171,0.4761130154142025,3214.8913156580975,6654.579535568813,18158.471492521916,19.06888054536619
6,8760,8760.0,4913.42198240067,2999.3606500067085,1047.0506897195194,4713.588660273772,1414.076598082131,0.0,0,1.0,0.0,1.962078122751738,801.2430842065668,896,8760,8760,8760,0,0,1.0,0.0,0,8760,2627.999999999999,7070.382990410655,13139.999999999996,300.0,700.0,7370.382990410655,13839.999999999996,6469.617009589341,0.4104422546674159,2655.404192250514,9309.983727819326,24628.088502111255,16.307231234698143
7,8760,8760.0,5078.610169809604,3095.4807844566517,1082.0152856160955,4582.503929927252,1374.7511789781752,0.0,0,1.0,0.0,2.0007261027386947,833.1503380407022,964,8760,8760,8760,0,0,1.0,0.0,0,8760,2627.999999999999,6873.755894890875,13139.999999999996,300.0,700.0,7173.755894890875,13839.999999999996,6666.244105109121,0.35382952988570343,2358.714017814102,11668.697745633428,31294.332607220378,16.405085450217513
8,8784,8784.0,5157.324810442503,3063.824136046184,1069.020110991863,4651.155752961953,1395.3467258885853,0.0,0,1.0,0.0,2.013409697185938,957.3330572299217,1023,8784,8784,8784,0,0,1.0,0.0,0,8784,2635.199999999999,6976.733629442926,13175.999999999995,300.0,700.0,7276.733629442926,13875.999999999995,6599.2663705570685,0.30502545679802023,2012.944239210983,13681.64198484441,37893.598977777445,18.562589955387775
9,8760,8760.0,5414.853945079707,3153.535118998326,1125.720599634414,4480.74428136726,1344.2232844101775,0.0,0,1.0,0.0,2.0870631304828495,1064.8892377782522,1134,8760,8760,8760,0,0,1.0,0.0,0,8760,2627.999999999999,6721.116422050887,13139.999999999996,300.0,700.0,7021.116422050887,13839.999999999996,6818.883577949109,0.2629529799982933,1793.045757083143,15474.687741927552,44712.48255572656,19.666074996277246
10,8760,8760.0,5120.53081703205,3049.551067834993,1067.4430792496596,4643.0058529153475,1392.9017558746036,0.0,0,1.0,0.0,2.0050514296124358,936.488220607771,1004,8760,8760,8760,0,0,1.0,0.0,2711,6049,2627.999999999999,6964.508779373018,13139.999999999996,300.0,700.0,7264.508779373018,13839.999999999996,6575.491220626978,0.2266836034468046,1490.556044324551,16965.243786252104,51287.97377635354,18.288889454444803
