Hour,Scenario,PvGenerationKWh,PvToLoadKWh,BatteryToLoadKWh,DieselToLoadKWh,FuelUsedL,UnservedEnergyKWh,AvgSocKWh,CurtailmentKWh,HoursBatteryFullWithPvShare
0,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
1,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
2,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
3,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
4,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
5,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
6,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
7,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
8,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
9,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
10,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
11,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
12,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
13,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
14,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
15,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
16,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
17,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
18,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
19,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
20,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
21,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
22,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
23,ColdStandby,0.0,0.0,0.0,1.0,0.2999999999999999,0.0,,0.0,0.0
0,Hybrid,0.0,0.0,0.0,0.9997261774370209,0.2999178532311061,0.0002738225629791895,1.024,0.0,0.0
1,Hybrid,0.0,0.0,0.0,0.9997261774370209,0.2999178532311061,0.0002738225629791895,1.024,0.0,0.0
2,Hybrid,0.0,0.0,0.0,0.9997261774370209,0.2999178532311061,0.0002738225629791895,1.024,0.0,0.0
3,Hybrid,0.0,0.0,0.0002738225629791895,0.9994523548740416,0.29983570646221236,0.0002738225629791895,1.0248392859159223,0.0,0.0
4,Hybrid,0.0,0.0,0.0002738225629791895,0.9994523548740416,0.29983570646221236,0.0002738225629791895,1.024556994613882,0.0,0.0
5,Hybrid,0.00048321785993689093,0.00048321785993689093,0.0002738225629791895,0.9989691370141048,0.29969074110423133,0.0002738225629791895,1.0242747033118416,0.0,0.0
6,Hybrid,0.023755377721588068,0.023755377721588068,0.000266462212486309,0.975728639387851,0.2927185918163552,0.00024952067807459683,1.024,0.0,0.0
7,Hybrid,0.09663071206487549,0.09663071206487549,0.0,0.9031530109139796,0.2709459032741938,0.0002162770211448776,1.024,0.0,0.0
8,Hybrid,0.3919173307765599,0.3919173307765599,0.0,0.6080071304879612,0.18240213914638828,7.553873547888189e-05,1.024,0.0,0.0
9,Hybrid,0.865772304446708,0.7106146413825798,0.0,0.28938535861742026,0.08681560758522604,0.0,1.1745029331722046,2.970771844018725e-17,0.0
10,Hybrid,1.3568113768022216,0.8448852402433334,0.00021129914741989248,0.15490346060924667,0.04647103818277398,0.0,1.6708534514617284,5.2435840863146425e-17,0.0
11,Hybrid,1.73490709161636,0.8888487592686144,0.0011385828233310023,0.11001265790805466,0.033003797372416384,0.0,2.490356237113958,5.1769674035424566e-17,0.0
12,Hybrid,1.9524709543736216,0.9150399902315108,0.0027464097663838566,0.08221360000210523,0.024664080000631562,0.0,3.3813010476025656,0.11601224170579094,0.23740416210295728
13,Hybrid,1.9887071015930793,0.9203058477044394,0.00776301544551903,0.07193113685004159,0.02157934105501247,0.0,3.7688789769015947,0.6605857507899293,0.4846659364731654
14,Hybrid,1.8550881011924987,0.9116597258659492,0.014593206359821287,0.0737470677742294,0.022124120332268817,0.0,3.928914470106718,0.7629334930130292,0.5692771084337349
15,Hybrid,1.5795969427071515,0.8830607789854263,0.028265360645999608,0.08867386036857401,0.026602158110572198,0.0,3.979586750769461,0.614255928958349,0.5933734939759037
16,Hybrid,1.166492988486822,0.8123134435196208,0.0704938409568173,0.11719271552356186,0.03515781465706855,0.0,3.930613172515184,0.32974605570142557,0.5536692223439211
17,Hybrid,0.707932052741582,0.6372568321368326,0.19584593586328727,0.16689723199988005,0.050069169599964006,0.0,3.7308081960302313,0.06851228227667715,0.33187294633077763
18,Hybrid,0.30211459765024806,0.30211459765024806,0.4761412427215254,0.2217441596282264,0.0665232478884679,0.0,3.239940935492576,0.0,0.0
19,Hybrid,0.07199976335773922,0.07199976335773922,0.6532473482709159,0.2747528883713448,0.0824258665114034,0.0,2.566490060986477,0.0,0.0
20,Hybrid,0.016847545173746085,0.016847545173746085,0.6506577299984293,0.3324947248278246,0.09974841744834735,0.0,1.8957088960396427,0.0,0.0
21,Hybrid,0.0,0.0,0.5497376617366188,0.4501983320162989,0.1350594996048896,6.400624708238149e-05,1.3289690385792108,0.0,0.0
22,Hybrid,0.0,0.0,0.29552400493849373,0.704202172498527,0.21126065174955802,0.0002738225629791895,1.024305115962207,0.0,0.0
23,Hybrid,0.0,0.0,0.0002959624833408477,0.99943021495368,0.29982906448610386,0.0002738225629791895,1.024,0.0,0.0
