Scenario,Metric,Mean,Std,Min,P05,Median,P95,Max
Hybrid,TotalLoadKWh,87648.0,0.0,87648.0,87648.0,87648.0,87648.0,87648.0
Hybrid,TotalPvGenerationKWh,51535.298278678405,7.279598323750351e-12,51535.2982786784,51535.2982786784,51535.2982786784,51535.2982786784,51535.2982786784
Hybrid,TotalBatteryChargeKWh,18791.670161254155,0.0,18791.670161254155,18791.670161254155,18791.670161254155,18791.670161254155,18791.670161254155
Hybrid,TotalBatteryDischargeKWh,17689.02869472394,3.6397991618751755e-12,17689.028694723944,17689.028694723944,17689.028694723944,17689.028694723944,17689.028694723944
Hybrid,TotalDieselEnergyKWh,39171.859482973996,12.036519862703043,39112.26416614072,39147.848772436606,39180.88745327632,39180.88745327632,39180.88745327632
Hybrid,PvToLoadKWh,30778.08385200018,1.0919397485625527e-11,30778.08385200017,30778.08385200017,30778.08385200017,30778.08385200017,30778.08385200017
Hybrid,BatteryToLoadKWh,17689.02869472394,3.6397991618751755e-12,17689.028694723944,17689.028694723944,17689.028694723944,17689.028694723944,17689.028694723944
Hybrid,DieselToLoadKWh,39171.859482973996,12.036519862703043,39112.26416614072,39147.848772436606,39180.88745327632,39180.88745327632,39180.88745327632
Hybrid,DieselRunHours,46005.516,13.888867651635415,45935.0,45978.0,46016.0,46016.0,46016.0
Hybrid,FuelUsedL,11751.557844888586,3.6109559588044213,11733.679249838644,11744.354631727383,11754.266235979281,11754.266235979281,11754.266235979281
Hybrid,FailureCount,0.648,0.782757119870978,0.0,0.0,0.0,2.0,4.0
Hybrid,RecoveryCount,0.648,0.782757119870978,0.0,0.0,0.0,2.0,4.0
Hybrid,TotalRepairHours,16.754,20.50062827719579,0.0,0.0,0.0,56.0,109.0
Hybrid,SystemDownHours,10.484,13.888867651635413,0.0,0.0,0.0,38.0,81.0
Hybrid,UnservedEnergyKWh,9.027970302332328,12.036519862703797,0.0,0.0,0.0,33.03868083971389,68.62328713560613
Hybrid,HoursLoadFullyCovered,87637.516,13.888867651635415,87567.0,87610.0,87648.0,87648.0,87648.0
Hybrid,Availability,0.999880385177072,0.00015846188905206614,0.9990758488499453,0.9995664476086162,1.0,1.0,1.0
Hybrid,SocMinKWh,2.048000000000001,8.886228422546815e-16,2.048,2.048,2.048,2.048,2.048
Hybrid,SocMaxKWh,10.24,0.0,10.24,10.24,10.24,10.24,10.24
Hybrid,SocAverageKWh,3.8383968604359486,8.886228422546815e-16,3.8383968604359477,3.8383968604359477,3.8383968604359477,3.8383968604359477,3.8383968604359477
Hybrid,HoursBatteryCharging,20342.0,0.0,20342.0,20342.0,20342.0,20342.0,20342.0
Hybrid,HoursBatteryDischarging,22547.0,0.0,22547.0,22547.0,22547.0,22547.0,22547.0
Hybrid,CurtailmentKWh,1965.5442654245708,0.0,1965.5442654245708,1965.5442654245708,1965.5442654245708,1965.5442654245708,1965.5442654245708
ColdStandby,TotalLoadKWh,87648.0,0.0,87648.0,87648.0,87648.0,87648.0,87648.0
ColdStandby,TotalDieselEnergyKWh,87648.0,0.0,87648.0,87648.0,87648.0,87648.0,87648.0
ColdStandby,DieselToLoadKWh,87648.0,0.0,87648.0,87648.0,87648.0,87648.0,87648.0
ColdStandby,FuelUsedL,26294.39999995961,7.279598323750351e-12,26294.3999999596,26294.3999999596,26294.3999999596,26294.3999999596,26294.3999999596
ColdStandby,PrimaryRunHours,60380.346,26812.692977375154,38.0,11161.7,66542.0,87648.0,87648.0
ColdStandby,ReserveRunHours,27267.654,26812.692977375158,0.0,0.0,21106.0,76486.29999999999,87610.0
ColdStandby,PrimaryFailureCount,0.822,0.6623856540979393,0.0,0.0,1.0,2.0,4.0
ColdStandby,ReserveFailureCount,0.386,0.5650870050915375,0.0,0.0,0.0,1.0,3.0
ColdStandby,PrimaryRecoveryCount,0.822,0.6623856540979393,0.0,0.0,1.0,2.0,4.0
ColdStandby,ReserveRecoveryCount,0.386,0.5650870050915375,0.0,0.0,0.0,1.0,3.0
ColdStandby,PrimaryRepairHours,21.177,17.575282687955877,0.0,0.0,24.0,53.049999999999955,105.0
ColdStandby,ReserveRepairHours,9.968,14.847269695719055,0.0,0.0,0.0,33.0,88.0
ColdStandby,SystemDownHours,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColdStandby,UnservedEnergyKWh,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColdStandby,HoursLoadFullyCovered,87648.0,0.0,87648.0,87648.0,87648.0,87648.0,87648.0
ColdStandby,Availability,1.0,0.0,1.0,1.0,1.0,1.0,1.0
