ProjectYear,InitialInvestmentUsd,FuelCostColdUsd,FuelCostHybridUsd,AnnualOmColdUsd,AnnualOmHybridUsd,OutageCostUsd_Cold,OutageCostUsd_Hybrid,OperatingCostColdUsd,OperatingCostHybridUsd,IncrementalNetBenefitUsd,DiscountFactor,DiscountedNetBenefitUsd,CumulativeDiscountedUsd,CumulativeUndiscountedUsd
1,-15000.0,13139.999999999996,6931.815136590459,700.0,300.0,0.0,0.0,13839.999999999996,7231.815136590459,6608.184863409538,0.8620689655172414,5696.711089146153,-9303.288910853847,-8391.815136590463
2,0.0,13139.999999999996,7071.281336231124,700.0,300.0,0.0,0.0,13839.999999999996,7371.281336231124,6468.718663768872,0.7431629013079668,4807.311729911469,-4495.977180942376,-1923.0964728215913
3,0.0,13139.999999999996,7043.560548972181,700.0,300.0,0.0,0.0,13839.999999999996,7343.560548972181,6496.439451027815,0.6406576735413507,4161.99378499773,-333.9833959446478,4573.342978206223
4,0.0,13175.999999999995,6743.241640617472,700.0,300.0,0.0,0.0,13875.999999999995,7043.241640617472,6832.758359382523,0.5522910978804748,3773.6716158553654,3439.6882199107167,11406.101337588745
5,0.0,13139.999999999996,6745.389845066826,700.0,300.0,0.0,42.24,13839.999999999996,7087.6298450668255,6752.370154933171,0.4761130154142025,3214.8913156580975,6654.579535568813,18158.471492521916
6,0.0,13139.999999999996,7070.382990410655,700.0,300.0,0.0,0.0,13839.999999999996,7370.382990410655,6469.617009589341,0.4104422546674159,2655.404192250514,9309.983727819326,24628.088502111255
7,0.0,13139.999999999996,6873.755894890875,700.0,300.0,0.0,0.0,13839.999999999996,7173.755894890875,6666.244105109121,0.35382952988570343,2358.714017814102,11668.697745633428,31294.332607220378
8,0.0,13175.999999999995,6976.733629442926,700.0,300.0,0.0,0.0,13875.999999999995,7276.733629442926,6599.2663705570685,0.30502545679802023,2012.944239210983,13681.64198484441,37893.598977777445
9,0.0,13139.999999999996,6721.116422050887,700.0,300.0,0.0,0.0,13839.999999999996,7021.116422050887,6818.883577949109,0.2629529799982933,1793.045757083143,15474.687741927552,44712.48255572656
10,0.0,13139.999999999996,6964.508779373018,700.0,300.0,0.0,0.0,13839.999999999996,7264.508779373018,6575.491220626978,0.2266836034468046,1490.556044324551,16965.243786252104,51287.97377635354
