Run,ColdFuelCostUsd,HybridFuelCostUsd,ColdOutageCostUsd,HybridOutageCostUsd,MeanAnnualNetBenefitUsd,NPV,PI,IRR,SimplePaybackYears,DiscountedPaybackYears
1,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
2,131471.99999979802,58743.19502031034,0.0,73.92,7665.488497948766,21911.510035863128,2.4607673357242086,0.4972783147634425,2.0045852269954065,2.613918171442113
3,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
4,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
5,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
6,131471.99999979802,58738.013498283515,0.0,80.96,7665.302650151449,21910.6743794064,2.46071162529376,0.49728183695932104,2.004443670018029,2.6136987044300697
7,131471.99999979802,58735.900539255905,0.0,88.0,7664.80994605421,21908.3486097617,2.460556573984113,0.49726386499540565,2.004385950536588,2.6136092173389844
8,131471.99999979802,58763.752493348664,0.0,21.12,7668.712750644935,21926.66596691114,2.4617777311274094,0.4973800640209241,2.0051470428037192,2.6147891990597754
9,131471.99999979802,58744.35707863159,0.0,70.4,7665.724292116643,21912.62165096301,2.460841443397534,0.4972865602736074,2.0046169766418327,2.613967395437734
10,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
11,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
12,131471.99999979802,58743.99754518588,0.0,73.92,7665.408245461213,21911.120324815638,2.460741354987709,0.4972726938233173,2.0046071533973975,2.6139521656825875
13,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
14,131471.99999979802,58760.94474349701,0.0,28.16,7668.289525630101,21924.677591991607,2.4616451727994404,0.4973669691835688,2.005070291407668,2.6146702052816266
15,131471.99999979802,58723.65372069017,0.0,123.2,7662.514627910784,21897.536562527028,2.4598357708351353,0.4971857635889021,2.0040514700374934,2.6130906456861926
16,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
17,131471.99999979802,58756.576036378974,0.0,35.2,7668.022396341903,21923.447227583543,2.4615631485055696,0.49736480306279107,2.0049508819045103,2.614485075255873
18,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
19,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
20,131471.99999979802,58771.331179896406,0.0,0.0,7670.06688199016,21933.041216694197,2.4622027477796133,0.4974252530548251,2.0053542393329744,2.615110432276418
21,131471.99999979802,58761.68558053775,0.0,28.16,7668.215441926026,21924.317836938564,2.4616211891292377,0.49736178201022796,2.005090542035308,2.6147016014361815
