month,GTI_W_m2,GHI_W_m2,DNI_W_m2,DHI_W_m2,temp_C,cloud_pct,wind_m_s,GTI_minus_GHI
1,97.9079,58.5965,87.5734,31.1359,2.2967,72.4999,3.5491,39.3114
2,122.4952,86.729,103.4748,44.6411,2.782,73.5362,3.9373,35.7662
3,167.428,137.1948,145.4631,62.8684,7.2111,67.5324,3.7305,30.2333
4,214.2411,203.5867,209.3266,77.4051,12.6235,55.6221,3.5675,10.6545
5,222.6175,239.4473,235.0986,86.1527,17.121,56.2542,3.1705,-16.8298
6,242.4727,275.555,282.7341,85.9861,22.8734,40.6831,2.9513,-33.0823
7,253.6312,279.7114,308.3707,75.6671,26.1642,27.3546,3.0274,-26.0802
8,255.5673,249.6034,295.9896,65.2543,26.425,22.5234,3.4186,5.9639
9,228.0953,188.0869,241.5303,55.8938,20.2278,35.3849,3.489,40.0084
10,177.5505,122.1203,175.1275,44.2685,13.6978,48.1879,3.2464,55.4302
11,123.8499,72.2517,119.1699,31.5219,8.0255,63.9711,3.4935,51.5983
12,87.5315,48.5155,81.042,25.4609,3.925,73.6849,3.4507,39.016
