month,GTI_W_m2,GHI_W_m2,DNI_W_m2,DHI_W_m2,temp_C,cloud_pct,wind_m_s,GTI_minus_GHI
1,0.0,0.0,0.0,0.0,2.3,97.0,3.1575,0.0
2,0.0,0.0,0.0,0.0,3.05,98.0,3.5057,0.0
3,3.5314,4.0,0.0,4.0,7.05,92.0,3.3838,0.0
4,32.0313,46.0,18.0691,34.0,12.15,65.0,3.1016,0.0
5,58.7154,103.0,75.0254,63.0,16.9,65.0,2.7019,-2.2217
6,71.1844,158.0,197.3994,72.0,22.6,28.0,2.6401,-18.463
7,61.6505,151.0,226.9377,66.0,25.85,11.0,2.7459,-6.2699
8,44.1344,89.0,194.1341,47.0,26.25,4.0,3.1008,0.0
9,17.4078,19.0,22.7153,14.0,20.037,15.0,3.1048,0.0
10,0.0,0.0,0.0,0.0,13.45,42.0,2.7731,0.0
11,0.0,0.0,0.0,0.0,7.85,88.0,3.0017,0.0
12,0.0,0.0,0.0,0.0,3.95,98.0,3.0686,0.0
