year,GTI_W_m2,GHI_W_m2,DNI_W_m2,DHI_W_m2,temp_C,cloud_pct,wind_m_s,GTI_minus_GHI
2016,187.9612,177.2907,198.0809,61.3785,15.7163,49.4993,3.4673,10.6705
2017,187.4532,163.9304,196.4527,56.426,13.4384,49.4737,3.4879,23.5229
2018,179.3005,163.29,186.6647,57.1239,14.0904,52.1151,3.5392,16.0105
2019,186.0134,164.8636,196.6529,55.7096,13.6991,50.134,3.3138,21.1498
2020,192.9782,169.0776,207.6856,54.8026,13.8299,47.055,3.3306,23.9005
2021,174.74,156.5546,179.2629,57.2115,12.9115,56.7896,3.4815,18.1855
2022,177.5318,161.6801,180.6992,59.3137,13.3196,58.5178,3.6288,15.8517
2023,181.0037,161.7542,185.2161,58.5561,14.0926,56.4406,3.6361,19.2494
2024,189.7396,170.7622,201.3286,56.9327,14.6738,53.9295,3.5243,18.9774
2025,188.7634,169.2557,198.9753,58.1578,13.7398,50.2007,2.7801,19.5077
2026,126.3709,94.4378,105.5802,47.7425,4.3992,72.9043,3.34,31.9331
