hour,GTI_W_m2,GHI_W_m2,DNI_W_m2,DHI_W_m2,temp_C,cloud_pct,wind_m_s,GTI_minus_GHI
0,0.0,0.0,0.0,0.0,11.6866,48.785,3.2588,0.0
1,0.0,0.0,0.0,0.0,11.3222,48.6654,3.1798,0.0
2,0.0,0.0,0.0,0.0,11.0022,49.198,3.1056,0.0
3,0.0,0.0,0.0,0.0,10.8245,49.9737,3.0884,0.0
4,0.0,0.0,0.0,0.0,10.4331,51.4395,3.0234,0.0
5,0.1431,0.187,0.0,0.187,10.2331,52.8587,2.9837,-0.0439
6,7.0568,12.2013,40.1305,7.8636,10.3688,53.5665,3.0083,-5.1444
7,28.7869,57.1821,129.8382,28.0904,10.9495,54.0424,3.0295,-28.3952
8,118.0292,139.7637,242.327,55.9148,11.9681,53.2979,3.1359,-21.7344
9,263.358,250.7903,356.5361,89.9102,13.2727,53.4206,3.3318,12.5677
10,418.2967,366.563,434.9571,122.5208,14.6104,53.8973,3.4883,51.7338
11,541.4783,457.5077,478.3238,145.7243,15.812,55.305,3.6535,83.9706
12,614.1078,511.5986,493.1877,162.3171,16.7642,56.6008,3.8099,102.5093
13,627.2342,520.9778,488.3119,167.8354,17.4301,57.7207,3.9067,106.2564
14,583.6206,488.6342,467.6272,162.9863,17.7891,58.3814,3.9418,94.9864
15,493.2505,420.5756,434.9309,146.8042,17.6832,58.034,3.9496,72.6749
16,361.0051,321.244,378.0052,119.414,17.4001,56.6772,3.8505,39.7611
17,217.2247,213.805,300.8801,84.1487,16.6461,55.7547,3.7003,3.4197
18,92.2373,115.7125,198.3853,50.2336,15.7076,54.3039,3.5331,-23.4752
19,21.8431,45.9222,106.4146,23.6966,14.7014,52.009,3.4158,-24.0791
20,5.1026,8.592,29.9534,5.6974,13.7721,50.2412,3.4215,-3.4894
21,0.0,0.0266,0.0,0.0266,13.1027,49.5649,3.4366,-0.0266
22,0.0,0.0,0.0,0.0,12.5531,49.2078,3.3925,0.0
23,0.0,0.0,0.0,0.0,12.0956,48.8642,3.3344,0.0
