month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0484,20.2613,63.8935,96.8516,120.3194,126.3452,120.9323,102.0,69.7548,26.0194,0.8355,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0284,50.2411,96.2163,129.461,153.6454,162.5816,154.9113,135.4149,104.7128,62.2128,14.961,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8903,44.9548,95.5968,138.9323,168.3516,192.3323,200.4032,194.1129,172.6613,141.2839,99.9774,49.4806,5.8645,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,3.4267,41.19,90.9267,134.3267,165.3733,191.49,210.6367,216.6533,212.7967,192.7533,161.52,123.8333,81.3967,30.5,0.9,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.2097,23.7387,72.0484,113.9,147.2194,177.171,200.5258,216.0677,220.9065,213.8452,201.129,173.5903,139.1742,99.4839,56.7516,11.9032,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,1.8133,35.79,78.0933,112.33,142.8167,170.7967,188.1567,202.5667,208.73,205.2833,194.2967,172.29,142.9633,109.4167,71.0933,26.98,0.25,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.2387,24.4226,68.3161,100.8677,124.9677,146.3516,160.3774,172.5548,181.329,182.2065,176.3839,156.0161,131.6484,100.5774,66.671,23.0097,0.071,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,6.4742,47.8194,85.2387,111.7935,132.2323,146.3065,158.0355,164.4871,166.9065,158.1548,140.7742,115.2516,83.9452,43.4581,5.2258,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0533,20.4433,66.8867,100.6633,125.7133,143.21,155.74,159.01,155.66,143.5333,121.0367,90.3167,50.8133,8.37,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.629,37.8613,82.4129,112.2355,132.3161,143.2903,144.4774,137.9742,117.7581,88.7968,52.6774,10.0161,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.16,47.3033,81.7533,105.07,118.9833,121.06,110.8367,89.3267,57.4733,16.5567,0.0033,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1226,19.8484,58.9323,86.5581,104.0968,108.6677,100.6935,78.2645,45.5097,8.3677,0.0,0.0,0.0,0.0,0.0,0.0
