month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.7367,202.0235,264.0433,306.3161,322.9159,312.0885,274.677,205.0332,115.7033,2.2249,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.4024,151.5932,239.0234,306.3426,325.5504,328.7261,321.1294,299.8719,248.7533,180.619,59.3843,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9268,154.6983,277.2246,360.3797,410.2543,413.1517,393.3773,375.807,356.2236,310.1535,256.6444,153.3984,15.8754,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,9.4658,162.0821,315.463,416.3286,477.2235,507.5237,512.2826,504.7069,476.9513,447.4535,413.4347,371.1165,277.0315,131.4921,1.2818,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,110.5306,266.312,384.5691,455.4074,496.9811,506.6795,508.2754,501.0924,498.6568,477.2283,436.6195,396.1513,327.3415,222.9599,53.5604,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,182.5562,343.4087,467.1628,541.3434,582.5661,606.9411,604.4167,590.2759,566.845,533.1463,491.4796,456.2297,390.0429,288.8307,140.3733,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,145.2785,348.3452,495.0788,592.0188,645.7313,668.1184,675.3868,660.5155,628.248,598.0966,555.5349,500.735,433.1887,317.5754,137.0444,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,31.1261,276.1199,459.1582,575.4506,648.9073,682.3069,695.6985,686.7916,656.4336,620.8528,572.903,516.0092,411.2696,245.5421,25.1805,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.3246,354.6875,491.1167,574.2135,622.3815,629.852,618.1269,597.5825,557.2893,492.068,415.7371,266.9349,46.4125,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5686,199.5469,354.8374,459.3934,510.9059,525.0976,516.1923,487.0577,449.2207,383.5366,255.9188,51.7836,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.069,212.8193,312.732,377.0601,409.9902,414.911,394.5009,347.5827,249.3082,99.1044,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.6412,209.2876,268.2659,303.0217,313.3346,288.3275,250.0304,169.8951,40.2029,0.0,0.0,0.0,0.0,0.0,0.0
