month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0484,29.071,106.3774,180.8097,238.7387,259.1,243.3774,192.7677,116.6194,38.4677,0.9387,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7695,76.6064,172.1241,261.2837,317.7624,338.1879,320.8688,271.8404,192.383,101.1525,20.5177,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0065,70.5065,185.2452,307.9645,407.2839,462.7323,468.4774,441.4839,382.6839,290.2226,186.9839,76.0129,7.071,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,4.07,66.3667,192.44,336.2233,463.96,563.2067,618.9967,628.0767,588.4567,512.2333,409.9533,292.95,161.2267,46.9567,0.9633,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.2097,35.2613,140.8806,278.8645,414.2387,534.8129,616.0323,663.4355,669.7419,645.8774,579.8097,471.4161,353.3323,223.4645,103.0839,16.2742,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,1.8133,58.4167,178.44,327.0,475.3833,605.5,701.6967,750.9267,755.0133,715.22,637.4667,528.6367,411.4933,277.4767,146.9867,41.6,0.25,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.2387,39.2968,157.5129,311.6645,470.7387,611.1806,710.9774,773.2065,783.3677,740.5839,668.5129,554.9774,423.0065,283.8968,147.0903,36.7516,0.071,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,8.6581,96.0839,245.8742,407.0871,556.3871,665.371,733.4968,747.3484,707.5742,626.0226,509.3968,373.8323,222.2806,84.0645,7.0032,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0533,34.14,156.42,305.3167,444.9333,553.7267,610.2233,614.69,576.3533,492.74,371.5,239.59,102.0033,12.3967,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2097,66.4387,187.4484,308.8774,400.8032,447.9323,447.6484,404.8903,326.6355,220.4097,101.9516,14.6419,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3167,83.74,174.84,251.88,299.2767,305.3833,270.72,202.1733,109.23,25.4767,0.0033,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1226,29.0226,101.429,167.0548,212.4645,225.2613,199.3806,145.8226,72.8774,10.9355,0.0,0.0,0.0,0.0,0.0,0.0
