month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.4241,189.2054,299.8697,385.2092,417.2925,393.4183,317.3278,200.8436,80.6877,1.5121,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6676,114.7227,246.2442,371.4683,443.9048,468.8787,446.482,381.4568,272.1957,149.233,32.6314,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2809,79.7568,222.4313,378.6151,507.4405,574.4539,577.161,541.7442,468.2097,350.1777,221.0366,85.6186,6.3468,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,2.9881,42.5955,171.0581,337.8216,494.5131,618.0918,687.6995,699.772,648.6431,554.5944,429.452,288.075,137.5474,28.2129,0.7228,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0683,21.295,75.6192,213.1242,367.2642,511.5775,612.8999,672.7318,682.0026,651.468,569.475,441.2973,302.6996,159.2012,51.4598,10.6367,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,1.6009,32.2597,79.0026,225.8062,394.0575,550.4559,670.7324,735.7676,744.3658,697.0898,603.2855,474.3355,335.1365,186.2156,64.9871,24.2473,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0683,21.997,63.5906,214.9054,396.4853,568.5401,697.4586,779.2752,795.1582,743.8147,652.9595,515.1117,357.5056,198.1097,61.4535,20.7164,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,5.7312,45.7844,198.632,390.4462,578.1155,720.9503,811.0583,830.1385,777.934,672.6668,524.5439,355.5521,177.8577,39.6095,4.5944,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.1922,168.5232,358.7513,543.2514,689.687,764.4451,769.4673,717.2753,604.2351,444.0917,274.0828,103.7473,8.5382,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8949,102.3209,276.2823,451.7467,581.349,645.6477,643.8274,581.2377,473.258,325.6892,155.0457,20.9119,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7875,159.7072,303.3716,422.1738,493.7349,503.9894,453.3954,351.3112,203.4855,57.4418,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0285,70.8284,195.4294,297.8355,367.2578,387.1849,344.4265,264.658,146.2786,26.8278,0.0,0.0,0.0,0.0,0.0,0.0
