month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,69.6613,69.2226,69.4065,69.1194,71.2419,73.5452,72.5258,73.5097,74.2484,75.8484,76.7516,74.8032,75.0903,74.9226,73.9129,73.1355,74.4903,72.4645,72.3323,71.7419,69.5065,71.5871,70.1097,70.8194
2,69.9787,70.6135,71.2021,71.0319,73.6348,74.0,74.7801,77.5071,77.227,75.5532,76.0,77.0567,77.0248,77.1879,75.9078,74.6454,73.8262,71.8085,72.1631,71.5355,71.6773,69.6596,70.3652,70.4823
3,65.1323,62.7419,62.2452,62.9355,64.3871,66.1323,68.6194,68.2226,70.0065,68.6839,67.5774,69.8032,72.7387,73.4129,73.171,72.5677,72.4194,70.3032,68.8677,66.4613,63.7968,63.3871,63.3129,63.8516
4,51.0067,50.1933,51.9667,52.3133,53.63,55.7133,56.5833,56.9967,56.0733,56.74,57.17,59.89,62.6067,63.27,63.83,62.54,58.7567,56.16,53.3467,50.6233,50.1267,50.7367,52.5767,52.08
5,50.9323,50.5903,52.5161,53.4903,55.5065,56.1613,57.671,57.1194,56.1581,56.7323,58.6258,60.5677,61.1419,60.5806,61.4,63.2032,61.5516,59.7774,55.8968,53.2774,52.0677,52.1161,51.7742,51.2419
6,33.54,32.3,33.6533,35.2,37.56,39.4433,40.8067,39.01,39.22,40.6033,42.39,44.0467,45.6033,47.86,50.7667,49.29,47.9733,49.0533,46.05,41.98,38.6,36.6633,32.0867,32.6933
7,21.171,20.9935,22.8226,23.6097,24.3645,24.7581,24.0452,24.8774,24.0129,24.8548,26.6581,28.6774,31.4968,33.3452,36.1968,39.2097,37.4226,34.571,32.2581,28.7645,25.5871,23.1161,22.2935,21.4032
8,19.1194,19.0613,18.6903,20.0516,20.5226,22.1,22.529,21.6742,19.3839,19.1903,20.4806,23.2677,24.771,29.2194,31.5742,29.6065,28.5097,28.6032,27.1968,22.9161,19.729,17.8581,17.0226,17.4839
9,33.14,32.7667,32.7733,33.18,33.23,33.5733,33.46,33.7967,33.2067,33.08,33.9033,35.1167,37.9433,39.6767,41.78,42.4667,39.83,39.1,37.71,35.0433,33.2533,33.4967,33.8567,33.8533
10,42.4387,42.671,41.3968,43.5323,46.2194,49.2484,53.571,53.9,51.1677,49.4774,49.8742,50.4452,52.1839,53.0774,52.6129,51.1194,50.4677,50.0323,48.5968,47.2161,46.5645,44.5645,44.3226,41.8097
11,58.4967,60.5633,61.2867,63.05,65.0267,66.5733,65.9733,68.86,67.4,66.7333,63.8667,65.3067,65.7733,65.85,66.0133,64.7167,62.8533,63.4833,63.9233,62.86,62.3867,61.9567,61.81,60.5433
12,72.1065,73.6419,73.8516,73.5516,73.429,74.4452,73.5871,74.5903,73.0742,75.0161,74.8774,76.1,74.2129,75.5452,74.6355,74.9839,73.0161,74.6581,74.3968,72.8871,71.0,70.9548,72.3419,71.5355
