month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,1.3559,1.2001,1.0717,1.0068,0.896,0.8294,0.8076,0.6916,0.6774,1.2808,2.2932,3.3848,4.3242,4.9931,5.3489,5.0435,4.5384,3.4152,2.7345,2.3716,2.1013,1.8103,1.5497,1.396
2,1.4631,1.2949,1.1447,1.1152,0.9126,0.7848,0.7262,0.6528,0.9115,1.9034,3.0028,4.0924,5.0289,5.7179,6.1176,5.9011,5.6573,4.8773,3.6913,3.0832,2.644,2.3181,1.9918,1.7346
3,5.1629,4.8794,4.6339,4.6002,4.4176,4.2439,4.0939,4.1497,5.1411,6.4937,7.9008,9.1826,10.2313,10.9334,11.3284,11.2666,11.1006,10.4498,9.2377,7.9827,7.2608,6.5908,6.1098,5.6747
4,9.8942,9.5473,9.1722,9.1201,8.7911,8.5217,8.5166,9.6102,11.0921,12.6357,14.0911,15.3131,16.2497,16.9026,17.2321,17.3192,17.1044,16.5471,15.5132,13.8022,12.5649,11.7714,11.0864,10.5647
5,14.5135,14.0847,13.6742,13.5197,13.0732,12.8429,13.5121,14.7306,16.1418,17.5287,18.753,19.7158,20.4726,20.9426,21.284,21.293,21.1471,20.708,19.9242,18.6414,17.1959,16.3695,15.7163,15.1185
6,20.0604,19.5289,19.0886,18.8022,18.2294,18.0036,18.9374,20.3314,21.8714,23.3477,24.6526,25.7564,26.4812,26.9597,27.2039,27.1339,27.0414,26.6409,25.9956,24.9136,23.3457,22.2871,21.5112,20.8386
7,23.3463,22.7459,22.1897,21.8456,21.0961,20.749,21.525,23.0092,24.7172,26.3439,27.8308,29.0558,29.9782,30.6285,30.9116,30.8848,30.8072,30.4016,29.7103,28.5811,26.8592,25.7519,24.8508,24.1216
8,23.9868,23.3711,22.7884,22.3063,21.59,21.2345,21.278,22.5732,24.2685,25.9961,27.6414,29.0347,30.0882,30.9024,31.3708,31.4527,31.3958,30.9955,30.1027,28.5905,27.1445,26.174,25.3261,24.5889
9,18.2551,17.7449,17.3157,16.9594,16.3239,16.0307,15.7652,16.4814,18.0041,19.6636,21.2621,22.6722,23.7961,24.5782,25.0462,25.0904,24.9072,24.2122,22.7397,21.2191,20.3532,19.6116,18.9777,18.4574
10,11.785,11.4151,11.1482,10.925,10.5777,10.4334,10.2748,10.2776,11.5679,13.1192,14.6855,16.0832,17.218,17.9571,18.3335,18.229,17.8921,16.6142,15.0034,14.2498,13.5479,12.9716,12.4393,11.9979
11,6.7836,6.5744,6.3996,6.3104,6.0157,5.9432,5.8544,5.7622,6.0991,7.1704,8.4304,9.6511,10.6732,11.3622,11.7039,11.4117,10.7591,9.4451,8.7529,8.2337,7.8139,7.4429,7.1316,6.8866
12,2.9748,2.8361,2.7659,2.7611,2.6606,2.5709,2.5089,2.4642,2.4229,3.0763,4.0555,5.0713,5.8964,6.5509,6.8576,6.4382,5.7193,4.7143,4.3284,4.0,3.7187,3.4397,3.2659,3.1022
