month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,3.4635,3.4361,3.401,3.4485,3.409,3.384,3.4231,3.4139,3.3689,3.5117,3.5353,3.6151,3.7412,3.8239,3.8467,3.7772,3.6902,3.5295,3.5449,3.5831,3.5551,3.5817,3.5614,3.534
2,3.7118,3.7097,3.6122,3.6139,3.5604,3.5132,3.54,3.5735,3.6308,3.8616,3.9854,4.1821,4.3986,4.4654,4.4875,4.517,4.4473,4.1057,3.9684,3.9703,3.9799,3.979,3.8763,3.8044
3,3.447,3.3905,3.2896,3.3272,3.3301,3.2874,3.2502,3.2702,3.4445,3.6002,3.8078,4.029,4.2103,4.3513,4.3473,4.4455,4.3657,4.1609,3.7731,3.7656,3.7922,3.7462,3.6278,3.4714
4,3.266,3.1904,3.1664,3.1741,3.0486,2.9934,3.0212,3.2219,3.2663,3.5284,3.7808,4.0112,4.1342,4.2421,4.3346,4.3252,4.2157,4.0175,3.5597,3.3867,3.4874,3.4951,3.4196,3.3345
5,2.9646,2.9052,2.8279,2.7949,2.7198,2.6995,2.7531,2.7664,2.939,3.1654,3.352,3.4747,3.605,3.7338,3.7887,3.8568,3.7473,3.5906,3.2962,2.9709,3.0497,3.0801,2.9983,3.0111
6,2.7872,2.714,2.6312,2.5419,2.3872,2.3403,2.5466,2.4877,2.6669,2.8784,3.0821,3.2567,3.4455,3.5624,3.6075,3.5876,3.5168,3.4396,3.2273,2.8653,2.7652,2.8292,2.8302,2.8337
7,2.9475,2.8045,2.6836,2.559,2.4477,2.3556,2.4233,2.3646,2.5961,2.7858,2.9864,3.2072,3.4518,3.575,3.6094,3.6664,3.6377,3.702,3.5889,3.1669,2.9465,3.0294,3.0821,3.0401
8,3.3683,3.161,3.0162,2.9158,2.8871,2.8399,2.833,2.8426,3.0298,3.321,3.5302,3.7289,3.8688,3.8901,3.9076,3.9033,3.9015,3.8882,3.6795,3.3247,3.4846,3.5997,3.614,3.5108
9,3.3734,3.2704,3.1557,3.1105,3.0835,3.035,2.9996,3.1132,3.1503,3.3993,3.5862,3.7646,3.9103,3.9764,3.9485,4.0574,3.972,3.7641,3.4015,3.4716,3.5346,3.6001,3.5485,3.5087
10,3.0915,3.0069,2.9732,2.9728,2.9154,2.8776,2.8317,2.8329,3.0077,3.0817,3.2246,3.4392,3.5922,3.7329,3.8087,3.8221,3.6147,3.216,3.2728,3.3657,3.4176,3.3642,3.2876,3.1639
11,3.3547,3.3036,3.2692,3.3169,3.2561,3.2124,3.2097,3.199,3.2549,3.4252,3.5127,3.6339,3.7988,3.8826,3.9003,3.8196,3.6127,3.5435,3.6054,3.6293,3.6116,3.5636,3.5021,3.4257
12,3.3628,3.3055,3.2803,3.3259,3.2733,3.3025,3.3071,3.314,3.3136,3.4677,3.5219,3.5489,3.6163,3.6958,3.7646,3.6686,3.5355,3.4812,3.5074,3.5297,3.4754,3.4118,3.3972,3.4093
