x_bin,mean,count,bin_center
"(-0.101, 5.0]",87.17887794742073,11069,2.4495
"(5.0, 10.0]",93.5796652200868,1613,7.5
"(10.0, 15.0]",97.55034065102195,1321,12.5
"(15.0, 20.0]",106.10819672131147,1220,17.5
"(20.0, 25.0]",110.3185618729097,1196,22.5
"(25.0, 30.0]",114.96050420168068,1190,27.5
"(30.0, 35.0]",119.04838709677419,1054,32.5
"(35.0, 40.0]",120.96995305164319,1065,37.5
"(40.0, 45.0]",123.71248688352571,953,42.5
"(45.0, 50.0]",125.78757062146893,885,47.5
"(50.0, 55.0]",125.58872901678657,834,52.5
"(55.0, 60.0]",129.46823529411765,850,57.5
"(60.0, 65.0]",129.44613583138172,854,62.5
"(65.0, 70.0]",127.42645241038319,809,67.5
"(70.0, 75.0]",127.73979591836735,784,72.5
"(75.0, 80.0]",133.56235827664398,882,77.5
"(80.0, 85.0]",132.83758937691522,979,82.5
"(85.0, 90.0]",130.2772435897436,1248,87.5
"(90.0, 95.0]",127.62074643249177,1822,92.5
"(95.0, 100.0]",121.64884673420995,13917,97.5
