x_bin,mean,count,bin_center
"(-0.101, 5.0]",578.2805296682627,11069,2.4495
"(5.0, 10.0]",517.2900000681959,1613,7.5
"(10.0, 15.0]",497.06027276358816,1321,12.5
"(15.0, 20.0]",504.4518477967213,1220,17.5
"(20.0, 25.0]",493.7976145794314,1196,22.5
"(25.0, 30.0]",478.5342583337815,1190,27.5
"(30.0, 35.0]",475.20046055218216,1054,32.5
"(35.0, 40.0]",450.7012572338028,1065,37.5
"(40.0, 45.0]",446.61641762224554,953,42.5
"(45.0, 50.0]",426.4843387502825,885,47.5
"(50.0, 55.0]",409.3615402589928,834,52.5
"(55.0, 60.0]",417.3670163811764,850,57.5
"(60.0, 65.0]",394.452463961007,854,62.5
"(65.0, 70.0]",385.06773389357227,809,67.5
"(70.0, 75.0]",372.9018109017857,784,72.5
"(75.0, 80.0]",357.5328720378685,882,77.5
"(80.0, 85.0]",333.9333056328907,979,82.5
"(85.0, 90.0]",320.5105382991186,1248,87.5
"(90.0, 95.0]",282.03078423474204,1822,92.5
"(95.0, 100.0]",141.2517255676295,13917,97.5
