x_bin,mean,count,bin_center
"(-0.101, 5.0]",407.06540789592555,11069,2.4495
"(5.0, 10.0]",380.9473031618103,1613,7.5
"(10.0, 15.0]",377.51703255109766,1321,12.5
"(15.0, 20.0]",399.0877049180328,1220,17.5
"(20.0, 25.0]",399.8444816053512,1196,22.5
"(25.0, 30.0]",401.10420168067225,1190,27.5
"(30.0, 35.0]",400.1024667931689,1054,32.5
"(35.0, 40.0]",385.362441314554,1065,37.5
"(40.0, 45.0]",389.6684155299056,953,42.5
"(45.0, 50.0]",378.2045197740113,885,47.5
"(50.0, 55.0]",362.7086330935252,834,52.5
"(55.0, 60.0]",376.58,850,57.5
"(60.0, 65.0]",362.88056206088993,854,62.5
"(65.0, 70.0]",348.9357231149567,809,67.5
"(70.0, 75.0]",338.9719387755102,784,72.5
"(75.0, 80.0]",335.5238095238095,882,77.5
"(80.0, 85.0]",318.8549540347293,979,82.5
"(85.0, 90.0]",309.98878205128204,1248,87.5
"(90.0, 95.0]",279.6372118551043,1822,92.5
"(95.0, 100.0]",196.7892505568729,13917,97.5
