x_bin,mean,count,bin_center
"(-15.405999999999999, -12.608]",93.0,8,-14.007
"(-12.608, -9.865]",110.95555555555555,45,-11.2365
"(-9.865, -7.122]",192.03821656050957,157,-8.493500000000001
"(-7.122, -4.38]",195.35064935064935,308,-5.7509999999999994
"(-4.38, -1.637]",150.27358490566039,636,-3.0084999999999997
"(-1.637, 1.105]",131.44393592677346,1311,-0.266
"(1.105, 3.848]",132.93736501079914,2315,2.4764999999999997
"(3.848, 6.59]",155.60265780730896,3010,5.218999999999999
"(6.59, 9.333]",183.55964357574015,3479,7.9615
"(9.333, 12.075]",210.79060554612337,3534,10.704
"(12.075, 14.818]",252.57106076210093,3884,13.4465
"(14.818, 17.56]",297.0179506357517,4011,16.189
"(17.56, 20.303]",319.07399158624105,4041,18.9315
"(20.303, 23.045]",355.93732525629076,4292,21.674
"(23.045, 25.788]",411.4121915820029,4134,24.4165
"(25.788, 28.53]",495.3063112078346,3676,27.159
"(28.53, 31.272]",555.8526204713331,2843,29.901
"(31.272, 34.015]",583.4589147286822,1935,32.6435
"(34.015, 36.758]",612.1979030144167,763,35.3865
"(36.758, 39.5]",689.4355828220858,163,38.129000000000005
