x_bin,mean,count,bin_center
"(-0.101, 5.0]",462.308327560692,11069,2.4495
"(5.0, 10.0]",422.6243435754495,1613,7.5
"(10.0, 15.0]",408.56606632505674,1321,12.5
"(15.0, 20.0]",435.70579493278683,1220,17.5
"(20.0, 25.0]",441.7820668820234,1196,22.5
"(25.0, 30.0]",441.9527193466386,1190,27.5
"(30.0, 35.0]",443.52640441309296,1054,32.5
"(35.0, 40.0]",424.1644209511737,1065,37.5
"(40.0, 45.0]",436.7455333732424,953,42.5
"(45.0, 50.0]",418.95581801898305,885,47.5
"(50.0, 55.0]",402.9075695798561,834,52.5
"(55.0, 60.0]",416.6439247497647,850,57.5
"(60.0, 65.0]",407.712187082904,854,62.5
"(65.0, 70.0]",397.84496847033375,809,67.5
"(70.0, 75.0]",389.0903583725765,784,72.5
"(75.0, 80.0]",386.29308886269837,882,77.5
"(80.0, 85.0]",364.6823183576098,979,82.5
"(85.0, 90.0]",355.99259144358973,1248,87.5
"(90.0, 95.0]",319.7065452510428,1822,92.5
"(95.0, 100.0]",213.89101695739743,13917,97.5
