x_bin,mean,count,bin_center
"(-15.405999999999999, -12.608]",117.88274824999999,8,-14.007
"(-12.608, -9.865]",177.02949594,45,-11.2365
"(-9.865, -7.122]",288.61553361592354,157,-8.493500000000001
"(-7.122, -4.38]",299.36358849448055,308,-5.7509999999999994
"(-4.38, -1.637]",224.5630959908805,636,-3.0084999999999997
"(-1.637, 1.105]",204.4060508381388,1311,-0.266
"(1.105, 3.848]",204.47253649092875,2315,2.4764999999999997
"(3.848, 6.59]",230.16124492481728,3010,5.218999999999999
"(6.59, 9.333]",257.6051329095142,3479,7.9615
"(9.333, 12.075]",282.29346098896434,3534,10.704
"(12.075, 14.818]",313.9276526468846,3884,13.4465
"(14.818, 17.56]",345.22758176100723,4011,16.189
"(17.56, 20.303]",349.1321588714675,4041,18.9315
"(20.303, 23.045]",366.8891862341799,4292,21.674
"(23.045, 25.788]",409.73158555077407,4134,24.4165
"(25.788, 28.53]",491.35457723895536,3676,27.159
"(28.53, 31.272]",553.9532377864931,2843,29.901
"(31.272, 34.015]",587.5905907943153,1935,32.6435
"(34.015, 36.758]",612.2211505674967,763,35.3865
"(36.758, 39.5]",683.933656607362,163,38.129000000000005
