x_bin,mean,count,bin_center
"(-0.0142, 0.658]",373.2470160549103,1171,0.3219
"(0.658, 1.316]",353.9155981415183,3820,0.9870000000000001
"(1.316, 1.974]",327.54583263217603,5703,1.645
"(1.974, 2.632]",338.3281475235481,6285,2.303
"(2.632, 3.29]",338.842701758087,5886,2.9610000000000003
"(3.29, 3.948]",341.9671252517151,5364,3.6189999999999998
"(3.948, 4.606]",350.93127985053985,4353,4.277
"(4.606, 5.264]",378.7697288418228,3522,4.9350000000000005
"(5.264, 5.922]",388.8455072206986,2691,5.593
"(5.922, 6.58]",428.79424277525874,2029,6.2509999999999994
"(6.58, 7.239]",437.81544306497005,1336,6.9094999999999995
"(7.239, 7.897]",452.12821209667027,931,7.568
"(7.897, 8.555]",402.5152131961474,597,8.225999999999999
"(8.555, 9.213]",428.7423894581907,409,8.884
"(9.213, 9.871]",427.7403717944915,236,9.542
"(9.871, 10.529]",402.9504235219048,105,10.2
"(10.529, 11.187]",395.727698184375,64,10.858
"(11.187, 11.845]",380.2192508,30,11.516
"(11.845, 12.503]",538.970541,7,12.174
"(12.503, 13.161]",299.649746,6,12.832
